PROJECT_TITLE,ABSTRACT_TEXT,CORE_PROJECT_NUM,PI_NAMEs,ORG_NAME,FISCAL_YEAR,SOURCE,EXP_HEAVY_METALS,EXP_AIR_POLLUTION,EXP_PFAS,EXP_PESTICIDES,EXP_PHTHALATES_BPA,EXP_SOLVENTS,EXP_PAHS_DIOXINS_PCBS,EXP_FLAME_RETARDANTS,EXP_MICROPLASTICS,EXP_NITRATES,MECH_NEURODEGENERATION,MECH_INFLAMMATION,MECH_OXIDATIVE_MITOCHONDRIAL,MECH_ENDOCRINE,MECH_MICROBIOME,MECH_IMMUNE_DYSFUNCTION,MECH_DNA_DAMAGE,MECH_EPIGENETIC,MECH_RECEPTOR_SIGNALING,MECH_SENESCENCE_CELL_DEATH,MECH_BARRIER_DISRUPTION,ORGAN_BRAIN_NERVOUS,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_CARDIOVASCULAR,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_SKIN,ORGAN_ENDOCRINE,TYPE_MECHANISTIC,TYPE_TOXICITY_SCREENING,TYPE_BIOMARKER,TYPE_RISK_ASSESSMENT,TYPE_INTERVENTION,TYPE_METHODS,TYPE_CONFERENCE,TYPE_CENTER_CORE,ADMINISTERING_IC,STAGE_EXPOSURE_CHAR,STAGE_TOXICITY,STAGE_MECHANISM,STAGE_HEALTH_OUTCOME,STAGE_INTERVENTION,PARTICLE_MICRO,PARTICLE_NANO,PARTICLE_FIBER,PARTICLE_ADDITIVE,MODEL_INVITRO,MODEL_RODENT,MODEL_ZEBRAFISH,MODEL_OTHER_ANIMAL,MODEL_HUMAN,MODEL_ENVIRONMENTAL,END_UPTAKE,END_INFLAMMATION,END_OXIDATIVE,END_GUT_MICROBIOME,END_REPRODUCTIVE,END_CARDIOVASCULAR,END_RESPIRATORY,END_NEURO,END_IMMUNE,END_GENOTOXIC
From Dogs to Humans: Micro-Nanoplastic Bioaccumulation in Testes and Semen and Its Impact on Sperm Quality,"Thompson3, Natalie Adolphi5, Daniel F Gallego5, Huining Kang6, Erin Clarke7, Gary D Smith8, Matthew Campen2, Xiaozhong John Yu1 1 College of Nursing, University of New Mexico 2 College of Pharmacy, University of New Mexico 3 Fertility Center of New Mexico, Albuquerque, New Mexico 4 Reprotox Biotech, Albuquerque, New Mexico 5 Department of Internal Medicine, University of New Mexico 6 Office of the Medical Investigator, University of New Mexico, Albuquerque, New Mexico 7 CABQ Animal Welfare Department 8 University of Michigan Medical School, Ann Arbor, MI Background: The global decline in sperm counts, rising rates of testicular dysgenesis syndrome, and the rising prevalence of male infertility raise urgent questions about environmental contributors to reproductive dysfunction. Micro-nanoplastics (MNPs) may penetrate the blood–testis barrier and bioaccumulate in reproductive organs, potentially impairing fertility. Objectives: This study aimed to quantify and characterize MNPs in sentinel canine models and human reproductive tissues and assess their resulting impact on sperm quality. Methods: Reproductive tissues (47 canine; 23 human testes) were analyzed using pyrolysis gas chromatography/mass spectrometry (Py-GC/MS) for polymer identification and quantification. Semen samples from fertile (n=8) and infertile (n=8) men underwent Py-GC/MS and functional assessments, including sperm motility, morphology, and mitochondrial ultrastructure. Results: MNPs were detected in all canine and human testes examined, with concentrations ranging from 126 µg/g in dogs to 696 µg/g in humans. Polyethylene (PE), polypropylene (PP), polyvinyl chloride (PVC), and polyethylene terephthalate (PET) were dominant polymers, reflecting diverse environmental sources. In canines, higher MNPs tissue burdens correlated with reduced testis weights, altered motility kinetics, and abnormalities in mitochondrial midpiece. Elevated lipid peroxidation was observed in sperm from high MNPs animals, indicating oxidative stress. Human testis samples showed pervasive MNPs accumulation across all ages, suggesting widespread exposure independent of age. While semen contained lower but significant MNPs levels (~109 µg/ml median), preliminary comparisons revealed a trend toward higher microplastic burdens in the infertile group compared to the fertile group although this finding requires further statistical validation with large sample size. Conclusion: This study provides the first comparative and translational evidence of MNPs bioaccumulation across canine and human reproductive systems, linking plastic burdens to impaired reproductive parameters in canines and suggestive associations in humans. Companion animals may serve as valuable sentinels for environmental reproductive risks. These findings underscore the urgent need for standardized methodologies, expanded cohorts, and targeted mechanistic studies to clarify the role of MNPs in the global declining male fertility.",CONF_3324,Chelin Jamie Hu,,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
From Packaging to Plate: Systematic Review and Meta-Analysis of Nanoplastics and Microplastics Release from,"This systematic review and meta-analysis explores the occurrence and release of NPs and MPs from plastic food packaging into food. Our analysis revealed significant variation in reported occurrence and release of NPs and MPs across studies for different packaging types. For example, paper cups were found to release the highest number concentration of particles, up to 5.4 trillion particles per liter, with sizes ranging from 15 nm to 325 nm. In contrast, fish packaging released the lowest concentration, with only 7 particles per liter, ranging from 50 to 500 µm. Interestingly, we found that studies using methods capable of detecting smaller particles reported higher concentrations of NPs and MPs, regardless of the packaging or material types, release conditions, or study location. NPs and MPs detected in plastic packaging predominantly originate from the packaging materials themselves, although airborne sources or chemicals and simulants used in the studies can also contribute. Elevated temperatures consistently increased the release of NPs and MPs from plastic packaging. Longer contact times were also associated with increased NMP release. However, studies limited to detecting only larger NPs and MPs often observed a decrease in release with extended exposure possibly due to particle sedimentation or degradation into smaller, undetectable sizes over time. Repeated use generally reduced NP and MP release as the dominant release mechanism shifts from detachment of loosely attached particles to degradation. 128",CONF_3325,sis of Nanoplastics and Microplastics Release from,"Kazi Albab Hussain1, Changmin Yan2, Olivier Irumva1, Warisa Bunmahotama1, Lucia Fernandez-Ballester3, Bing Wang4, | Yongfeng Lu5, Svetlana Romanova6, Seulki Kim7, Dipti Dev8, Yusong Li1 | 1 Department of Civil and Environmental Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska 68588-053, United States | 2 College of Journalism and Mass Communications, University of Nebraska-Lincoln, Lincoln, Nebraska 68588, United States",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Inhalable Microplastics as Vectors of Co-Contaminants: Quantification by Pyrolysis-GC/MS and Implications for,"India 2 Centre for Climate and Environmental Studies, Indian Institute of Science Education and Research Kolkata, Mohanpur, 741246, West Bengal, India 3 Integrative Taxonomy and Microbial Ecology Research Group, Department of Biological Sciences, Indian Institute of Science Education and Research Kolkata, Mohanpur, 741246, West Bengal, India 4 The Institute of Mathematical Sciences (IMSc), Chennai, 600113, India 5 Homi Bhabha National Institute (HBNI), Mumbai, 400094, India 6 Department of Pulmonary Medicine, All India Institute of Medical Sciences (AIIMS), Kalyani, 741245, West Bengal, India This study reveals the levels of inhalable microplastics (iMPs, < 10 µm), a notorious subset of airborne microplastics (AMPs, < 5mm). In urban areas of four major Indian cities, the quantitative detection of iMPs was performed using Pyrolysis Gas Chromatography-Mass Spectrometry, at human-breathable heights (~1.5m). The research found that around 9 µg/m3 of iMPs will be inhaled by the residents and daily commuters of these cities. The Lifetime lung load of AMPs approaches 3 grams per person in urban spaces of India. Also, the levels of particulate matter 10 & 2.5 were found to be approximately 10 times higher (~290 µg/m3) than the WHO’s guidelines. Apart from estimating the levels of iMPs, this comprehensive research tries to delineate hidden risks associated with the inhalation of iMPs. Additionally, based on morphological characters and libraries, their probable source apportionment was done. Our findings reveal AMPs role as carriers of various pollutants such as microbes, toxic metals, endocrine disruptors, etc. Numerous bacterial and fungal strains were detected in iMPs samples collected during the mass gatherings (festivals), highlighting their role as carriers of these pathogens. More than 20 species of fungi were found laden to the surface of iMPs, including a few pathogenic immunosuppressing fungal species. The detection of antibiotic resistance genes (multidrug resistance) and virulence factor genes in the iMPs-attached bacterial strains also intensifies the problems. Furthermore, their role in the incidence of diseases when burned unintentionally in an open dumping site is explored. Various up-to-date toxicological databases linked these emitted chemicals with cancer, gut, respiratory, breast, and endocrine-like diseases.",CONF_3327,tification by Pyrolysis-GC/MS and Implications for,"Abhishek Biswas1, Nirupama Saini3, Nikhil Chivukula4,5, Areejit Samal4,5, Mahesh Ravikumar Jansari6, Punyasloke Bhadury2,3, | Gopala Krishna Darbha*1,2 | 1 Environmental Nanoscience Laboratory, Department of Earth Sciences, Indian Institute of Science Education and Research Kolkata, Mohanpur, 741246, West Bengal,",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Integrating Environmental Aging and Cryomilling to Model Realistic Micro- and Nanoplastic Exposure Pathways,"Plastic pollution has evolved from a visible environmental issue to an invisible and complex global health concern. As larger debris breaks down due to aging, oxidation, and mechanical degradation, millions of tons of plastic debris have fragmented into micro (µm) and nanoscale (nm) particles, yet most toxicological research continues to rely on pristine, laboratorygenerated plastics that fail to capture the true complexity of environmental aging. This limitation reduces the ability to assess real-world exposure and health risks. To address this gap, our study advances a new paradigm focused on environmentally relevant micro- and nanoplastics (MNPs) that have undergone natural weathering and degradation within the marine ecosystem. By harvesting plastics directly from oceanic environments, we preserve realistic aging phenomena including ultraviolet (UV) exposure, oxidation, saltwater interactions, and physical abrasion that laboratory-only approaches often fail to replicate. The collected plastic fragments were subjected to controlled UV aging (continuous exposure) to further mimic months of marine photochemical and mechanical stress. Following aging, fragments were cryogenically ground using a cryomill approach, enabling recovery of particles down to 1 µm and routinely reducing most material to ~500 µm, a size highly relevant for biological uptake. Using these environmentally relevant particles, we are advancing both in vivo and in vitro models to characterize how realistic MNPs behave once introduced into biological systems. These Models enable detailed investigation of particle uptake, biodistribution, and toxicological outcomes across multiple organ systems. Chemical analysis using pyrolysis GC/MS further revealed significant molecular changes associated with environmental weathering, most notably a marked reduction in long chain carbon fragments that are typically abundant in pristine, scientific grade polymers. This provides a clear analytical distinction between environmentally aged particles and their lab generated counterparts. Our initial findings demonstrate that aged plastics, through prolonged environmental exposure, exhibit increased brittleness and fragmentation, leading to higher yields of fine particles in the nano to micro range, a critical pre-condition for bioavailability. When applied in organ-level studies, these particles demonstrate accumulation within specific organ 143 systems, aligning with ongoing research performed within our lab as well as when identifying accumulation in human tissues. Ultimately, these findings and utilization of environmentally relevant particles advance our mechanistic understanding of how MNPs enter and distribute within biological systems, thereby informing risk assessment frameworks for biological models and allows for a better understanding of how chronic, real-world exposures may influence overall health.",CONF_3328,Nohi Leyva,"Begay, Eliane EL Hayek, Matthew J. Campen, Marcus A. Garcia | Department of Pharmaceutical Sciences, College of Pharmacy, University of New Mexico Health Sciences",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Investigation of hazardous effects by nanoplastic particles on intracellular signaling dynamics and respiratory functions,"In addition, inhaled NPs can affect the olfactory system and even brain functions, but the precise effects on the tissues are yet to be clarified. Here we investigated the effects of NPs on intracellular signaling pathways in vitro and also assessed the biodistribution and potential hazardous effects of inhaled NPs in vivo. First, we developed a cellular screening system using fluorescent protein-based indicators that visualize the intracellular dynamics of second messengers and metabolism-related molecules. We established human osteosarcoma-derived cell line U-2OS cells which stably express red fluorescent cAMP indicator Pink Flamindo, the red fluorescent glucose indicator Red Glifon 300, the green pyruvate indicator Green Pegassos, and the red fluorescent ATP indicator MaLionR. When we exposed the U-2OS cells to 0.2 µg/mL of polystyrene (PS) or low-density PE (LDPE) NPs with diameters of 50 nm or 400 nm for 24 hours in the medium, we did not observe significant difference in the kinetics of the fluorescence intensity in Red Glifon 300 or Green Pegassos by glucose, or Pink Flamindo by forskolin. Next, we exposed mice to the aerosols of 50 nm PS NPs in a nose-only inhalation chamber for 2 hours once a week for 7 weeks. We found accumulation of NPs in the lung of mice, and most NPs were colocalized with alveolar macrophages. Whole-body plethysmography analysis revealed that the NP-exposed mice exhibited airway hyperresponsiveness. Levels of tested cytokines in bronchoalveolar lavage (BAL) fluid 2 days after the final inhalation were unchanged. Although neutrophil infiltration was not observed, foamy macrophages were detected in BAL fluid. Furthermore, RNA-seq analysis showed upregulation of genes related to response to viruses in the olfactory bulb of the NP-exposed mice. Therefore, while repeated inhalation exposure can trigger harmful effects on respiratory functions and even affect the olfactory bulb, the underlying molecular mechanism is still unclear under in vitro analysis. To further clarify the precise mechanism, experimental methods which can quickly detect the cellular effects leading to chronic toxicity will be required.",CONF_3330,Kazuki Harada,"Tetsuya Kitaguchi3, Takashi Tsuboi4, Yuji Fujitani1 | 1 Health and Environmental Risk Division, National Institute for Environmental Studies | 2 Material Cycles Division, National Institute for Environmental Studies | 3 Institute of Integrated Research, Institute of Science Tokyo",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0
Messaging about Microplastics and Human Health,"Public interest in microplastics is high, and many people are concerned about the potential human health effects of microplastics. However, while the field of microplastics research is growing quickly, much scientific uncertainty remains. Balancing public demands for information about health effects with scientific uncertainty poses a challenge for microplastics communication. The Lake Ontario Microplastics Center (LOMP) has developed a messaging “toolkit” for communicating about microplastics and human health. LOMP’s approach is based on a set of “key points” – an internal tool for Center researchers, staff, and engagement staff informing talking points for communications including media interviews, educational materials, and presentations and trainings. The key points focus on the complexity and diversity of microplastics, what questions researchers are asking, and why we don’t have simple answers. This approach has informed a growing library of LOMP materials including a flagship brochure, infographics summarizing research approaches and findings, and a suite of workshops for educators. The messaging is designed to evolve over time to reflect the current state of the science and to fill gaps in public understanding. The entire LOMP team reviews the updated messaging annually to ensure accurate, consistent, locally relevant messaging across LOMP’s communications and products",CONF_3332,Katrina Korfmacher,University of Rochester,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Metabolic and physiologic effects of biodegradable microplastics in C. elegans model,"Microplastics are increasingly recognized as a global environmental concern because of their potential adverse effects on ecosystems. As a result, biodegradable plastics are being introduced as a supposedly safer replacement. However, it is not clear how the degradation products of biodegradable polymers may affect cellular metabolism and organismal health. The release of nutrients during the degradation of bioplastics can potentially disrupt metabolic interactions between species, for example, between the host and its microbiome. Here, we use the soil nematode Caenorhabditis elegans as a model to study the role of cellular metabolism and the microbiota in the host response to biodegradable microplastics. To characterize the effect of biodegradable microplastics on C. elegans physiology, we supplemented the C. elegans diet with different types of microplastics and assessed the animals’ rate of development. We tested biodegradable microplastics based on polycaprolactone (PCL) and poly-lactic-co-glycolic acid (PLGA), as well as non-biodegradable polystyrene (PS) microplastics. Despite no observable developmental defects I treated animals, their metabolomes, assessed by gas chromatography–mass spectrometry, showed significant differences, with PCL causing the most pronounced shift. This result confirms our original hypothesis that biodegradable microplastics are potent disruptors of C. elegans metabolism. The effects of different microbial diets and the dynamics of microplastics in the bodies of exposed animals are also discussed.",CONF_3333,Olga Ponomarova,University of New Mexico,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
Micro- and Nanoplastics (MNPs) in the Human Reproductive Tract: Blank-Corrected Polymer Burdens in Follicular,"QC/contamination control included specimen collection procedural blanks, 0.2-µm filtered solvents, polymer-specific calibration curves, and a positive-pressure hood. Blank subtraction was performed for each batch on a polymer basis; negative values were set to zero and flagged. LOD/LOQ were estimated from blank distributions (LOD≈mean_blank+3SD; LOQ≈mean_blank+10SD). Exposures were log10(x+1)transformed and scaled by IQR. Outcomes included fertilization and blastulation rates (%) and pathologist-confirmed endometrial polyps (yes/no). Models involved beta regression (logit link) for rates and logistic regression (Firth when needed) for binary variables, adjusted for maternal age and BMI at retrieval (centered), as well as male-factor infertility; race/ethnicity were assessed in sensitivity analyses. Multiplicity was controlled through permutation-FDR (q_perm<0.10 as primary) within outcome families; BH-FDR and nominal p-values are presented additionally. Results: FF cohort (n=40 fertilization; n=39 blastulation). Higher nylon-6 (N6) was associated with lower fertilization (Δ=−6.29 percentage points (pp) per IQR, 95% CI −11.3 to −1.3; p=0.0168; q_perm=0.033) and lower blastulation (Δ=−7.71 pp, 95% CI −14.3 to −1.1; p=0.0228; q_perm=0.085). Higher polyethylene terephthalate (PET) was linked to lower fertilization (Δ=−12.16 pp, 95% CI −22.2 to −2.1; p=0.0200; q_perm=0.033). Endometrium cohort (n=26; 11 path-confirmed polyps/15 controls). Polyvinyl chloride (PVC) burden was tied to path-confirmed polyp (ORIQR=2.80, 95% CI 1.03–7.61; p=0.043; q_perm=0.011). PU (ORIQR=3.50; q_perm=0.066) and styrene-butadiene rubber (SBR) (ORIQR=3.67; q_perm=0.069) were flagged by permutation-FDR. Findings remained consistent after subtracting blanks, handling LOQ, and using different covariate sets. Conclusions: After thorough blank correction and permutation-FDR control, FF PET and N6 are linked to reduced fertilization rates (with N6 also associated with lower blastulation), and endometrial PVC is connected to path-confirmed polyps. Results support a comprehensive, polymer-specific exposure framework for REI outcomes. 133 Impact Statement: To our knowledge, this is the first REI study to combine blank-corrected, polymer-resolved Py-GC/MS with outcome-focused modeling across both FF and endometrium. Using contamination control and permutation FDR provides a rigorous framework for future human MNP health outcome research.",CONF_3334,Fluid and Endometrium Associate with IVF Endpoints and Path-Confirmed Polyps,"Megan V. Alexander, MD1,2,*, Irene Peregrin-Álvarez, MD1,2,*, Audrey Messelt, MD1,2, Momal Sharif, PhD1,2, Hailie N. | Ciomperlik, MD1, Ninad M. Patil, MD1,3,4, Marcus A. Garcia, PharmD5, Laurissa Barela, BS5, Matthew J. Campen, PhD5, Enrico | R. Barrozo, PhD1,†, Laura Detti, MD1,2 | [*co-first; †corresponding; Presenting Author] | 1 Baylor College of Medicine & Texas Children’s Hospital, Department of Obstetrics & Gynecology, 1 Baylor Plaza, Houston, TX 77030 | 2 Division of Reproductive Endocrinology and Infertility | 3 Division of Gynecologic Oncology",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Micro- and Nanoplastics in the Environment: Insights from the Degradation of Fossil fuel- and Bio-Based Plastics,"Plastic pollution is a widespread environmental issue, and significant attention has been given to breakdown into micro- and nanoplastics (MNPs). While several valid methods have been developed for detecting microplastics in the environment, the detection of nanoplastics remains a significant challenge. This leads to uncertainty about realistic concentrations and properties of nanoplastics in the environment. Our current method for creating MNPs involves the use of a cryogenic mill, which produces both micro- and nanoplastic particles in a matter of hours. However, it is important to consider the environmental realism of the shape, size, and concentration of these particles. Here, we compare particles created from cryogenic milling to those generated through degradation in a simulated freshwater environment. We hypothesize that bioplastics generate more micro- and nanoparticles compared to fossil-fuel-based plastics across all three degradation techniques. Thus far, we have observed that PHB (bioplastic) produces more microplastic particles compared with polypropylene (fossil-fuel based plastic) and polylactic acid (bioplastic) after 170 days in a simulated freshwater environment. Future work will involve conducting 72-hour algal assays using Raphidocelis subcapitata comparing the ecotoxicity of particles generated by the three techniques, as it is well known that particle shape and size often influences toxicity.",CONF_3335,Megan Dodge,Oregon State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Micro- and nanoplastics are elevated in femoral atherosclerotic plaques compared with undiseased arteries.,"Introduction. As plastic production accelerates, its byproducts increasingly fill the environment. Once degraded into micronanoplastics (MNPs), particles may circulate into food, drinking water, or air. Emerging research shows that MNPs bioaccumulate in human tissues, including the blood, brain, and diseased vessels. MNPs have been found in thrombi and atherosclerotic plaques of diseased vessels, and these findings are linked to adverse clinical outcomes. However, there is currently a lack of data on MNP content in infrainguinal arterial occlusive disease. We studied the presence of MNPs in femoral plaques and examined patient clinical variables to characterize their associations in another area often affected by peripheral arterial disease (PAD). Methods. Common femoral artery plaques were collected from patients undergoing common femoral endarterectomy (CFE) for medically refractory lower extremity PAD at the University of New Mexico Hospital between April 2024 and January 2025. These samples were sectioned, frozen, and analyzed with pyrolysis gas chromatography/mass spectrometry (PyGC/MS) for MNP content by polymer. Twelve polymers were examined in triplicate. Decedents without clinical atherosclerosis served as controls, with whole carotid artery tissue used for comparison. Groups were compared using the Mann-Whitney U test. Results. A total of 10 plaques from 8 patients were collected for the plaque group, while 30 entire carotids were gathered from decedents, including seven who were age-matched to the plaque group. The average age of patients for CFE was 73.8 years (± 5.9 years), with 90% being male. For the decedents, the average age was 45 years, with 63% male. The total MNP concentration was 80 times higher in femoral plaque compared to the control group (3,234 versus 34.65 µg plastic/g tissue, 112 p <0.0001). 12 studied polymers were significantly higher in plaque tissue compared to controls. Polyethylene was the most common plastic in plaques (2145 ± 3146.4 µg/g), followed by polyvinyl chloride (406.4 ± 331.6 µg/g) and nylon 66 (176.7 ± 164 µg/g). No sex differences were observed in either group; however, acrylonitrile butadiene styrene showed a negative correlation with age in the plaque group (r = -0.7342, p = 0.03). Among plaque patients, those undergoing surgery for chronic limb-threatening ischemia (CLTI) had a threefold higher concentration of polypropylene (PP) compared to patients who had surgery for claudication (247 µg/g vs. 71.89 µg/g, p = 0.0381). Conclusion. We demonstrate a higher accumulation of MNPs in common femoral artery plaques compared to nonatherosclerotic artery tissue. This supports the idea that, despite similar ages between groups, MNPs tend to accumulate in atherosclerotic tissues. Patients with CLTI showed a greater concentration of certain polymers compared to those with claudication, raising questions about possible links between disease severity and different individual polymers.",CONF_3336,Andrea R. Iturralde-Carrillo,"Schlosser, PA3, Aerlin Decker, BSPS2, Rui Liu, PhD2, Milad Mazloumi Bakhshayesh, MPharm2, Deepali Kulkarni, MD1, | Matthew P. Justus, MS1, Carolyn Pace, BS1, Erin Risotto-Urbanowicz, MD1, Rowza T. Rumma, MD1, Matthew J. Campen, PhD2, | and Ross M. Clark, MD, MBA, FSVS1 | 1 Department of Surgery, University of New Mexico School of Medicine, Albuquerque, NM | 2 Department of Pharmaceutical Sciences, University of New Mexico College of Pharmacy, Albuquerque, NM | 3 Department of Pathology, University of New Mexico School of Medicine, Albuquerque, NM",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
Microplastic contamination in commercially available table salts of Pakistan,"Microplastics (MPs) are widespread across the globe, in every part of the environment. Their presence is expected to triple by 2060, posing risks to both human and environmental health. The present study investigated microplastic contamination using a stereomicroscope and GC-MS in table salts of Pakistan from different origins – sea, rock, and lake. Seventeen branded and 2 unbranded salts showed about 30 to 35 microplastics were present per kilogram of salts on average with the highest 125 MPs/Kg and lowest 30 MPs/Kg. Morphologically, black-coloured microplastic fibres were found to be predominant, and polyethylene was the most abundant chemical component. This study showed that assuming 30–35 MPs per kilogram of salts are found on average, people in Bangladesh are ingesting more microplastics through table salts compared to other regions, and Pakistan ranks lowest because of its lower salt consumption. 117 https://doi.org/10.1080/00207233.2024.2410627",CONF_3337,Fatima Kanwal,"1 Department of Environmental Sciences, Federal Urdu University of Arts, Sciences, & Technology, Karachi, Pakistan | 2 Institute of Environmental Studies, The University of Karachi, Karachi, Pakistan",2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Microplastics Identified in Human Urinary Lithiasis: First Evidence,"Purpose. Microplastics and nanoplastics are emerging environmental contaminants increasingly recognized for human tissue deposition. The University of New Mexico has previously demonstrated microplastics in placenta, testis, and brain tissue. We now report the first known analysis of microplastics within urinary calculi. Materials and Methods. Urinary stone fragments from eleven patients undergoing ureteroscopy with laser lithotripsy and cystolitholipaxy were collected as discarded operative debris. Samples were immediately placed in sterile containers to minimize environmental contamination. Microplastics were isolated using enzymatic and peroxide-based digestion protocols, followed by density separation. Polymer identification and quantification were performed using Fourier-transform infrared spectroscopy and Raman microscopy. In addition, overall stone composition was characterized with FTIR spectroscopy. 120 Results. Microplastics were detected in all eleven specimens, yielding a 100% detection rate. The recurrent presence across independent samples suggests a high probability of > 80% systemic exposure with incorporation into stone formation. Polyethylene terephthalate and polystyrene were the most frequently detected polymers and appeared in nearly every sample. Additional polymers, including polyvinyl chloride, polyamide, polypropylene, and polycarbonate, were identified at variable frequencies. Several stones contained multiple polymer types, indicating heterogeneous incorporation during stone formation. Conclusions. This pilot investigation provides the first evidence of microplastics in human urinary lithiasis. Because urolithiasis reflect urinary filtration and precipitation, these findings raise important questions about the contribution of microplastic exposure to stone pathogenesis. Larger studies analyzing both urine and lithiasis specimens are warranted to clarify mechanisms, establish causality, and assess potential clinical implications. Source of funding: None",CONF_3339,Kelsea Carrier,University of New Mexico Hospital,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
Nanovib: particle analysis with chemical specificity and nano sensitivity,"Accurate detection and characterization of micro- and nanoplastics in complex samples remains a major analytical challenge. Conventional techniques often struggle to simultaneously identify and quantify nanoscale particles, while also being limited by low throughput and time-intensive workflows. Nanovib, a technology startup specializing in nanoscale particulate analysis, has developed a high-throughput imaging service purpose-built for micro- and nanoparticle detection in liquids. Our proprietary platform integrates stimulated Raman scattering (SRS) microscopy optimized for nanoplastics with a custom algorithm that enables automated image processing and multidimensional particle characterization. This allows for quantitative particle counting down to 100 nm, while simultaneously extracting chemical composition and morphological features such as size and shape at single-particle resolution. Nanovib’s service provides comprehensive statistical profiles of particulate contamination, helping clients pinpoint sources of micro- and nanoparticles and gain a deeper understanding of their samples. Depending on the application, we offer fast and cost-effective routine testing for quality control, or in-depth analytical studies tailored to R&D and product development needs. By delivering previously inaccessible nanoscale insights, Nanovib empowers researchers, industry partners, and regulatory bodies to make informed decisions about product safety and environmental impact. Our mission as a startup is to make advanced nanoscale analysis accessible, supporting innovation and promoting a cleaner and safer products for our community.",CONF_3342,Elsy El Khoury,Nanovib,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
